"0","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","LogFC","Zstatistic"
"sp|Q13813|SPTN1_HUMAN","351780755.809023","260468992.2474","743191090.783014","753921332.436334","659610814.936619","656553266.155651","802471783.743922","819949886.151739","910215151.197069","874916851.08497","559684887.408746","585952642.969714","280878908.066674","326089079.270532","142073128.632621","154191422.929899","156444921.599828","158641026.686278","732031040.643605","719421391.182788","783454903.212348","798523260.577389","705873992.308058","683456289.840584","442368042.601045","434490080.729668","759761804.411275","790014955.75001","935627798.059336","938266348.771857","367811466.040209","357083422.037168",-0.167310372681033,-0.00170097819131476
"sp|Q15149|PLEC_HUMAN;sp|P58107|EPIPL_HUMAN","298420753.523385","291251691.331184","203945462.12185","197635092.14581","535336313.571749","536606034.838753","272324761.953259","270809136.710666","220287364.323324","215409545.123787","173410563.475825","171321391.801621","194120944.185076","180670976.352592","120818093.640339","118520272.849102","131480306.450919","134427396.29732","190591865.536939","186516656.973315","180400800.081791","175036298.718564","196942743.710259","189491245.904657","321567538.659991","316815683.865383","221224760.696224","229175509.686039","208571939.869651","204416340.997938","354458574.533798","346424215.409193",-2.9504897000915,-0.0295990596143098
"sp|Q14204|DYHC1_HUMAN","98024300.4950986","106318706.83553","189542534.0059","183095180.734538","281370217.19277","279035138.116152","156304745.026427","158807827.083415","171334616.695919","168196494.137751","200477291.637395","199223898.609703","124714573.079797","124486709.316115","102247905.173398","104366881.04285","109012152.816901","112718624.224461","157617494.336776","151877849.2497","175246491.508025","173758661.50164","191092959.243618","185811804.236606","238198176.785178","236857439.842215","161635599.565928","167255418.559687","190896351.745104","183928142.811357","206362868.735431","197195322.617541",3.44106802305329,0.036318333911487
"sp|Q01082|SPTB2_HUMAN","233202972.952049","253365292.458835","1013966139.36287","963942275.043598","650051237.908552","662866278.330225","934605691.910592","952846962.500491","1093787954.79984","1038687121.69278","568860049.497414","563630637.523249","412100328.437591","387781607.781173","199126117.296114","194465302.053381","201381228.867863","202893523.60403","712246417.923508","706098772.827551","847883760.384416","859849846.989733","755597160.27451","748766379.4485","437263795.955649","437507372.956958","953426578.084737","996415259.504517","869638935.727695","852122788.214639","441859318.939392","450351480.031951",0.453584284179921,0.00441994494177678
"sp|Q09666|AHNK_HUMAN","314231124.570981","336241789.992098","48509061.8945192","46850825.6585436","98782295.9566917","96904736.8797043","64777842.7841479","64609710.7028842","47575951.6003846","45885183.9270532","50922149.5921072","51284807.513254","110616403.949038","101462176.354108","158853419.416001","154191422.929899","140633998.672186","141107018.473584","33040319.9425627","34705420.8153919","31698997.7286575","33346331.3617118","33831253.4987426","33666891.2626721","210975528.009729","211210455.910255","42680736.6595746","44055788.9738069","49962995.7653852","47961009.3913158","81938197.8802445","85806613.3552001",-3.11050027238853,-0.0316597855557333
"sp|P35579|MYH9_HUMAN","780637070.47508","788510676.530766","65101235.0840934","60313706.5949067","269580072.191488","253467438.809129","93460569.1910592","90269712.2368887","83525625.6392605","80704809.0292544","94962927.6177134","94310473.0113158","344862906.429353","318377513.206702","184583198.617184","178355750.403988","201381228.867863","202058570.831997","85733365.1204222","85264757.4735156","69454308.0314894","67842536.218655","83456925.0574169","83155381.6979661","226288267.945919","215736394.251189","75976180.4411275","74019419.2774784","78479611.2729872","83815356.2178334","138384511.975524","138569686.163677",-4.77236472119737,-0.0501975946994274
"sp|P46821|MAP1B_HUMAN","122728005.256968","135443875.968648","448219122.96836","433504766.150892","538522839.247771","593423144.409915","348865745.342488","346869727.576933","445164048.736718","442622352.994083","336728448.654114","318646627.748292","162671182.277996","156434625.866269","52354507.2441468","44991676.3922319","47266338.0152671","49011727.7183397","292812416.257442","304421829.417161","386573143.032408","389679351.161766","350012103.920709","347707237.630876","216079774.655126","208193163.682966","429041960.138132","421341309.733339","497273212.570579","486594706.93131","224571357.153263","218513735.873491",-1.04468364339249,-0.010331604286938
"sp|Q01484|ANK2_HUMAN","24110815.8475847","35518498.9428273","187814182.631986","184172211.209447","100694211.362305","100376893.57572","199812251.373989","199763529.857559","235585097.956888","222786584.340355","95880443.8265802","92636322.6028309","59537652.7137467","54091127.6762943","15997210.5468226","14038323.5801849","15810922.9276422","14611673.5105783","141789796.160698","141885885.483272","155917834.356405","154594103.247783","125770366.032789","123261295.879729","73160868.584019","73923659.5685894","197389096.244106","192877525.23266","242744743.577107","244461455.635347","53775735.7939975","61423678.1937069",-1.68548686517592,-0.0171941158303549
"sp|Q00610|CLH1_HUMAN","191305489.675918","208848773.783825","651012350.840934","635447980.196338","213178567.725893","223480630.979904","582517168.320136","569200685.493715","660862092.969973","665408937.334437","419304907.452126","409608799.942638","331849211.847113","308462642.553206","148785244.945973","149588693.887216","153948460.084937","164485696.09051","586943807.36289","590858124.054753","516719434.519986","509777249.552605","504056428.208931","490285602.267875","324970369.756922","309272453.29716","630900243.46701","614218834.965999","586829525.734949","570410063.149144","345961279.93881","341094612.095206",1.03067904313145,0.0105822926251934
"sp|P21333|FLNA_HUMAN","768779292.189382","700898379.138459","70862406.3304734","65160343.7319974","423807914.910968","429284827.871003","120854184.298783","119523785.646991","67768959.9966893","64327781.9684733","161024094.656123","158486238.669904","392579786.564232","349223777.462023","396014862.487777","390081286.367432","432719995.914417","428330772.052951","104858500.416516","107913208.677418","66104007.4585418","70525574.374195","106271084.477318","103944227.122458","455979366.98877","429964142.388734","76721044.9552562","76866320.0189199","92148732.7559699","91731250.9717399","298619210.052447","309116992.21128",3.19575128755645,0.0316530503472396
"sp|P11137|MTAP2_HUMAN","39921186.8951813","58960708.2450933","427478906.481392","413579702.365074","54808241.6275838","58079712.0060768","279576013.011186","285018258.081287","344199006.755194","343770027.492071","123405930.092584","123887130.227882","35028527.9171952","33600394.9924028","22485589.6497297","25199941.5086925","20470984.4221051","20456342.9148096","205100588.86501","209165108.177218","260292582.975155","268303815.554003","182318282.543656","175693339.649464","107019037.998484","100777560.391465","349341457.126361","343051539.343698","346441527.241114","346902446.568255","63244149.7712702","68618642.6675902",1.35989657169237,0.013622187818478
"sp|Q9Y490|TLN1_HUMAN","292491864.380536","293619591.260706","26558999.4458116","24125482.6379627","58632072.4388106","57132760.1798908","36417394.2020334","36024301.8278695","26618056.5224017","26114718.8266509","43903150.5942762","43304690.5661427","116038776.691637","109834733.794838","80321658.5497807","79742280.6644928","85711845.3445864","88504993.8355026","30600216.4737507","29909278.2075067","23838677.1536652","22997469.9046288","28371454.6632106","27595812.510387","109230878.211489","105906957.177857","27485500.5713491","27472592.1549103","27573917.4742928","28636913.3744264","71498664.5206874","76080087.3071728",2.71013848040212,0.0272584246062978
"sp|P35580|MYH10_HUMAN","43676150.0189855","45700468.6397711","39809693.3124855","40011682.1428711","69147607.1696842","72283989.3988674","37625936.0450213","36692966.3629575","49564656.972748","48688458.8293491","35370249.851815","37445164.1364455","40993137.9340551","38667995.548634","53585061.9015947","54542339.1558003","61662599.4178044","63205924.8429014","44779196.0898205","47095455.8857622","38141883.4458643","38967935.1161766","44263369.1309197","43509397.7247102","90345165.6235212","84484182.3641022","43276628.2708775","40995370.6767573","46899227.1571305","50289213.7307","28526631.8546036","31178179.3868274",1.22402325258332,0.0122030403998337
